title,price,location,date_added,url,brand,size,year,description,condition,color,derailleur_type,brake_type,frame_material,wheel_size,seller_type,bike_type,frame_size_desc,gears,weight,suspension,parameters
Rower Gravel Giant Liv Avail Ar 4 M Claris Krotoszyn • OLX.pl,3000.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/rower-gravel-giant-liv-avail-ar-4-m-claris-CID767-ID113sIQ.html,Giant,"17-18""",,"OpisRower Gravel Giant Liv Avail AR 4
Rozmiar ramy M
Napęd 2x8 shimano Claris
Hamulce tarczowe
Sztywne ośki przod i tył
Wiecej info pod nr tel
Mozliwa wysylka",Używane,,,Szczękowe hydrauliczne,Aluminium,"28""",Firmowe,,"17-18""",,,,"{'Typ sprzedawcy': 'Firmowe', 'Marka': 'Giant', 'Stan': 'Używane', 'Typ hamulca': 'Szczękowe hydrauliczne', 'Materiał ramy': 'Aluminium', 'Rozmiar koła': '28""', 'Rozmiar ramy': '17-18""'}"
Ridley Kanzo Adventure GRX 1x11 DI2 - rama i koła carbon Poznań Stare Miasto • OLX.pl,8000.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/ridley-kanzo-adventure-grx-1x11-di2-rama-i-kola-carbon-CID767-ID138Vmk.html,Ridley,"19-20""",2021.0,"OpisNa sprzedaż leci carbonowy rower Ridley Kanzo Adventure w rozmiarze M (TT - 550mm), rok modelowy 2022 w kolorze mieniący się granat+limonka. Rower został kupiony w październiku 2021 u autoryzowanego dealera marki Ridley - Cycling Planet (mam dowód zakupu) w Gdańsku. W oryginalnej specyfikacji był na pełnym GRX DI2 2x11 z carbonowymi kołami Forza (marka własna komponentów Ridleya). Od tego czasu zmienione zostały następujące części:
- przejście z 2x11 na konfigurację 1x11 z odpowiednią przerzutką. Jest możliwość montażu przedniej -przerzutki - kabel DI2 jest na swoim miejscu. Wystarczy podłączyć,
- wymieniona kierownica na Pro Discover z flarą 12st. i lekkim wypłaszczeniem w płaskim odcinku, 
- wymieniony oryginalny mostek 100 mm na 110mm z Decathlonu,
- wymienione siodełko na Selle Italia Model X, 
- Suport na skręcany TOKENa,
- łożyska w sterach (dorzucam do zestawu stare - na wzór) i kołach (koła są świeżo po serwisie),
- owijka na Supacaz,
- chain catcher nie pamiętam już jakiej marki, 
- zębatka GRX 1x11 42t oraz kaseta SLX 11-46,
- lewe ramię korby na te z pomiarem mocy Inpeak. 
Przebiegu roweru nie jestem w stanie określić, ale był to mój rower na wszelakiego rodzaju wyścigi, wyjazdy. Rower był w całości oklejony grubą folią ochronną, ale niestety w kilku miejscach niezabezpieczonych są drobne rysy/odpryski farby. W większości roweru można się jednak cieszyć (pięknie mieni się ten granatowy kolor w słońcu) dobrze utrzymanym lakierem. W racji tego, że jest to dobra i sprawdzona rama od Carbondy model 696, można mieć pewność, że posłuży jeszcze długo. Rower ma w tej chwili założone opony Pirelli Cinturato gravel M w rozmiarze 45mm, ale na spokojnie przyjmie i 50 mm (testowane). W tej chwili są wrzucone dętki. Rower ma zainstalowane lewe ramię korby z pomiarem mocy, ale uległ on uszkodzeniu pół roku po gwarancji (odkleił się moduł z elektroniką). Dorzucam do zestawu odklejony moduł - dzięki temu będzie można skorzystać z niższej ceny zakupu na nowy produkt w sklepie InPeak (1200PLN zamiast 1650PLN). W skład całego sprzedawanego zestawu wchodzą:
- rower na kołach carbonowych
- 3 zapasowe  łańcuchy 
- kaseta szosowa 
- kaseta górska Deore 11-51. Przerzutka tylna bez żadnych modyfikacji to przyjmie, ale zmiana biegów nie jest do końca idealna. 
- mostki 100mm oraz 80mm, tak by dopasować pozycję dla siebie,
- lemondka z Decathlon, 
- zapasowy hak przerzutki,
- zębatka Garbaruk 40T,
- ładowarka DI2,
- pedały Look X - track Race. 
- 2 koszyki na bidon z Decathlon
- uszkodzony moduł mocomierza. 
Waga powyższego zestawu to 9.74kg. Preferuję odbiór osobisty na terenie Poznania i okolic, ale istnieje możliwość wysyłki. Cena za powyższy zestaw to 8000 PLN do negocjacji. Jeśli pojawią się jakiekolwiek pytania to z chęcią na nie odpowiem.",Używane,Granatowy,Zewnętrzna,Tarczowe hydrauliczne,Karbon,"28""",Prywatne,,"19-20""",,,,"{'Typ sprzedawcy': 'Prywatne', 'Stan': 'Używane', 'Kolor': 'Granatowy', 'Rodzaj przerzutki': 'Zewnętrzna', 'Typ hamulca': 'Tarczowe hydrauliczne', 'Materiał ramy': 'Karbon', 'Rozmiar koła': '28""', 'Rozmiar ramy': '19-20""'}"
"CANNONDALE CAADX APEX 1 (przełaj/gravel), Sram(hydraulika), Rozmiar 54 Lublin • OLX.pl",3999.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/cannondale-caadx-apex-1-przelaj-gravel-sramhydraulika-rozmiar-54-CID767-ID15c6W8.html,Cannondale,,,"OpisRower przełajowy/gravelowy CANNONDALE CAADX APEX 1 na osprzęcie SRAM w bardzo dobrym stanie technicznym i wizualnym.

SPECYFIKACJA:
Rama: Aluminium 
Rozmiar: 54
Widelec: Karbon
Manetki: SRAM APEX, 1x11
Korba: 	Cannondale Si, 40 zębów
Przerzutka przednia: SRAM APEX
Przerzutka tylna: SRAM APEX
Kaseta: SRAM, 11- rzędowa, 
Koła: Maddux CX 2.0 Disc,
Hamulce: SRAM APEX 160/140 mm(hydrauliczne) 
Kierownica: CANNONDALE 
Sztyca: CANNONDALE 
Mostek: CANNONDALE 
Siodełko: CANNONDALE",Używane,,,Tarczowe hydrauliczne,Aluminium,"28""",Prywatne,,,,,,"{'Typ sprzedawcy': 'Prywatne', 'Stan': 'Używane', 'Marka': 'Cannondale', 'Typ hamulca': 'Tarczowe hydrauliczne', 'Materiał ramy': 'Aluminium', 'Rozmiar koła': '28""'}"
"Rower gravel Kross Esker 6.0 2025 2x12 Gen2 brąz XS,S,M,L,XL  Śląsk Przyszowice • OLX.pl",7649.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/rower-gravel-kross-esker-6-0-2025-2x12-gen2-braz-xs-s-m-l-xl-slask-CID767-ID13eIXq.html,Kross,,2025.0,"OpisNowość !!!

Nowy rower gravelowy Kross Esker 6.0 Gen2 2x12 model 2025 na osprzęcie Shimano GRX z pełną gwarancją.

Preferujemy odbiór osobisty. Jeśli interesuje Cię wysyłka napisz.

Prosimy o potwierdzenie dostępności telefonicznie

Koła 28 cali. Rozmiar ramy: XS-17"", S-18"", M-19"", L-20"", XL-21""

Rower oferowany jest na sprzedaż przez sklep rowerowy Profi Bike z siedzibą w Przyszowicach koło Gliwic (woj. śląskie). ul. Gliwicka 17b

W stałej ofercie 500 modeli rowerów.

Zadzwoń lub napisz i zapytaj o dostępność modelu który Cię interesuje.

Odbiór osobisty w sklepie w Przyszowicach koło Gliwic .

www.pbrowery.pl

Możliwość zapłaty gotówką lub kartą płatniczą.
Oferujemy również dogodny system ratalny. Wystarczy dowód osobisty i stałe zatrudnienie na terenie Polski

Rama i widelec

MATERIAŁ RAMY ALUMINIUM PERFORMANCE
WIDELEC CARBON
Wykończenie lakieru połysk
KOLOR RAMY brązowy
Napęd

PRZERZUTKA PRZÓD SHIMANO GRX RX820
PRZERZUTKA TYŁ SHIMANO GRX RX820
MANETKI SHIMANO GRX RX610
KORBA SHIMANO GRX RX610
KORONKI 46T-30T (XS, S, M - 170 MM; L - 172,5MM; XL - 175MM)
KASETA / WOLNOBIEG SHIMANO 105 R7101
ZAKRES KASETY/WOLNOBIEGU 11-34T
ILOŚĆ PRZEŁOŻEŃ 24
SUPORT SHIMANO RS501
ŁAŃCUCH SHIMANO M6100
Koła

PIASTA PRZÓD SHIMANO 12x100 TA
PIASTA TYŁ SHIMANO 12x142 TA
OBRĘCZE DT SWISS G 540
OPONY WTB RIDDLER COMP 700x45C
Hamulce

HAMULEC PRZÓD SHIMANO GRX RX410
HAMULEC TYŁ SHIMANO GRX RX410
DŹWIGNIE HAMULCA SHIMANO GRX RX610
TARCZE HAMULCOWE SHIMANO RT30 160
TARCZE HAMULCOWE TYŁ SHIMANO RT30 160
Komponenty

KIEROWNICA ALUMINIUM 31,8 (XS, S, M - 420MM; L, XL - 440MM)
WSPORNIK KIEROWNICY ALUMINIUM 31,8/12° (XS, S - 60MM: M, L - 70MM; XL - 80MM)
SIODŁO SELLE ROYAL COMFORT GROOVE
WSPORNIK SIODŁA ALUMINIUM 27,2 (XS, S, M - 350MM; L, XL - 400MM)
STERY FSA 1-1/8""-1.5"" SRS
CHWYTY FIZIK
PEDAŁY BRAK",Nowe,Inny,Zewnętrzna,Tarczowe hydrauliczne,Aluminium,"28""",Firmowe,,,,,,"{'Typ sprzedawcy': 'Firmowe', 'Marka': 'Kross', 'Stan': 'Nowe', 'Kolor': 'Inny', 'Rodzaj przerzutki': 'Zewnętrzna', 'Typ hamulca': 'Tarczowe hydrauliczne', 'Materiał ramy': 'Aluminium', 'Rozmiar koła': '28""'}"
Rower gravel NS Bikes RAG+3 2024 M Warszawa Mokotów • OLX.pl,3300.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/rower-gravel-ns-bikes-rag-3-2024-m-CID767-ID12IIeE.html,NS Bikes,M,2024.0,"OpisRower od 6 miesięcy w moich rękach. Kupiony w centrumrowerowe.pl na gwarancji. 

Rozmiar M. Ja mam 182 cm. 

W komplecie pedały dwustronne (zwykłe + zatrzaskowe), dwa uchwyty na bidon. 

Przejechane ok 1000 km

Do obejrzenia Warszawa Mokotów.
Proszę o tel lub sms, wiadomości Olx  nie za często czytam.",Używane,Szary,Zewnętrzna,Tarczowe mechaniczne,Aluminium,"28""",Prywatne,,,,,,"{'Typ sprzedawcy': 'Prywatne', 'Marka': 'NS Bikes', 'Stan': 'Używane', 'Kolor': 'Szary', 'Rodzaj przerzutki': 'Zewnętrzna', 'Typ hamulca': 'Tarczowe mechaniczne', 'Materiał ramy': 'Aluminium', 'Rozmiar koła': '28""'}"
Rower gravel Kellys Soot 30 2024 SUPER CENA ! RATY 0% Skórzewo • OLX.pl,3100.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/rower-gravel-kellys-soot-30-2024-super-cena-raty-0-CID767-IDZmb7v.html,Gt,,2024.0,"Opiswww.wygodnerowery.com - SKLEP/SERWIS ROWEROWY W SKÓRZEWIE KOŁO POZNANIA

RATY / FV 23% / NOWY / GWARANCJA PRODUCENTA

RATY 0%

NAJTANIEJ W POLSCE !

PRZED PRYJAZDEM DO SKLEPU STACJONARNEGO PROSZE O KONTAKT W CELU POTWIERDZENIA DOSTĘPNOŚCI I WYBRANIA FORMY ZAKUPU - ROWER W KARTONIE LUB ZŁOŻONY I WYREGULOWANY.

Kellys Soot 30

Dostępne rozmiary:

- M niebieski

- L niebieski

-XL niebieski 

Najniższa cena w Polsce !

Stan: fabrycznie nowy

Rower z pełną gwarancją producenta.

Czy zawsze musimy wybierać między drogami utwardzonymi a szutrami? Z rowerami gravel nie ma już dylematów! To wszechstronne rowery typu adventure, gotowe nie tylko na największe wyprawy, ale także na eksplorację leśnych ścieżek. Kurz, błoto, śnieg? Nie ma problemu! Na rowerach gravel Kellys możesz jeździć prawie wszędzie, ponieważ nigdy nie wiesz, dokąd zaprowadzą Cię rowerowe przygody.

Soot 30 to gravel, który został wyposażony w sporo ciekawych i nowoczesnych rozwiązań. Jest niezwykle uniwersalny – dzięki niemu możesz rozwinąć naprawdę duże prędkości i czerpać frajdę z jazdy zarówno po asfalcie, jak i podczas dużo bardziej wymagających terenowych wypraw.

rama KELLYS Gravel Concept Aluminium alloy Disc / tapered HT, flat mount, internal routing / 12 mm thru axle
widelec KELLYS Carbon Disc, 1.5 tapered steerer / flat mount disc brake / 12 mm thru axle
korby SHIMANO Claris R2000 (50x34T) - length 170 mm (S - M), 175 mm (L - XL)
przerzutka tył SHIMANO Claris R2000 (direct mount)
przerzutka przód SHIMANO Claris R2000 (braze on)
manetki SHIMANO Claris ST-R2000 Dual Control
ilość biegów 16
kaseta SHIMANO CS-HG50-8 (11-32T)
łańcuch KMC Z8 (112 links)
hamulce TEKTRO Spyre Mechanical Disc
dżwignie hamulcowe SHIMANO Claris ST-R2000 Dual Control
tarcze hamulcowe 160 mm front / 160 mm rear
piasty NOVATEC Disc (32 holes)
obręcze KELLYS Grind Disc 622x17 (32 holes / eyelets)
szprychy stainless steel black
opony SCHWALBE Smart Sam Performance 42-622 (700x40C) ADDIX
stery FSA 1.5 semi-integrated
suport SHIMANO BB-RS500
oś thru axle Mr.control 12x118 mm front / NOVATEC 12x162 mm rear
wspornik kierownicy KLS Active - diam 28.6 mm / bar bore 31.8 mm / 6° / length 90 mm (S), 100 mm (M), 110 mm (L), 120 mm (XL)
kierownica GravelBar - diam 31.8 mm / width 400 mm (S), 420 mm (M), 440 mm (L), 460 mm (XL)
chwyty KLS bar tape
sztyca KLS Active Road - diam 30.9 mm / length 350 mm (S), 400 mm (M - XL)
siodło WTB Volt
waga kg 10,84 (M)

Zapraszamy na oględziny do sklepu rowerowego w Skórzewie ul. Poznańska 115 na granicy z Poznaniem. Na miejscu duży wybór rowerów nowych i używanych. Przy zakupie roweru oferujemy atrakcyjne rabaty na akcesoria.

Paczki wysyłamy kurierem w specjalnym kartonie rowerowym, solidnie zabezpieczone. Do wysyłki zostaje zdemontowane przednie koło, wysunięta kierownica i siodło.

Wysyłamy za pobraniem bądź po wpłacie na konto.
Kurier DPD przedpłata 60 zł
Kurier DPD pobranie 90 zł",Nowe,Niebieski,Zewnętrzna,Tarczowe mechaniczne,Aluminium,"28""",Firmowe,,,,,,"{'Typ sprzedawcy': 'Firmowe', 'Marka': 'Kellys', 'Stan': 'Nowe', 'Kolor': 'Niebieski', 'Rodzaj przerzutki': 'Zewnętrzna', 'Typ hamulca': 'Tarczowe mechaniczne', 'Materiał ramy': 'Aluminium', 'Rozmiar koła': '28""'}"
"Nowy Rower Gravel Romet Aspre A2 GRX 2x10 52,54,56 cm - WYPRZEDAŻ 2lgw Gdańsk Brętowo • OLX.pl",4799.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/nowy-rower-gravel-romet-aspre-a2-grx-2x10-52-54-56-cm-wyprzedaz-2lgw-CID767-IDYfcnL.html,Romet,,2024.0,"OpisRower na wyprzedaży - oferta limitowana czasowo

Dostepne rozmiary w dwóch kolorach
Beżowy  M - 52 cm, L - 54 cm, XL - 56 cm
Żółty - 56 CM

Rower dostępny w Gdańsku na ulicy Rakoczego 7 w sklepie Rowery Brętowo lub poprzez wysyłkę do Państwa.
Rower nowy.
Paragon lub faktura.
Możliwy zakup ratalny.
2 lata gwarancji od momentu zakupu.
Przegląd zerowy warty 200zł w cenie.
Możliwy dodatkowy rabat

Kupując u nas otrzymujesz w cenie:

- złożenie roweru

- regulacja hamulców i przerzutek

- dokręcenie wszystkich śrub

- sprawdzenie roweru

- napompowanie opon

Romet Aspre 2 to aluminiowy rower gravelowy przeznaczony szybkiej jazdy niezależnie od terenu. To też idealnie dopasowany rower gravelowy na rynku, który umożliwi pełne spersonalizowanie pod własny styl jazdy.

Tego modelu chyba nie musimy nikomu przedstawiać. Aspre 2 to nasz kultowy gravel. Czemu zawdzięcza swoją rozpoznawalność? Romet Aspre 2 jest ceniony przez wielu miłośników graveli dzięki swojej wszechstronności i starannie dobranym komponentom, co czyni go doskonałym wyborem dla różnorodnych przygód na szutrze i poza nim.

Aspre 2 2024 to zupełnie nowa, udoskonalona geometria aluminiowej ramy. Nowa konstrukcja ramy w modelu Aspre 2 umożliwia bardziej aerodynamiczną pozycję rowerzysty, dzięki krótszej rurze podsiodłowej. Wygodę dodatkowo zwiększa carbonowy widelec, oraz szeroka kierownica z systemem flare. Wszystko to sprawia, że pokonane kilometry stają się praktycznie nieodczuwalne. Nic też nie stoi na przeszkodzie, aby obniżyć sztycę i zaszaleć na nim w bardziej wymagającym terenie. Krótka rura górna sprawia, że rower jest zwinny i responsywny: rower doskonale reaguje na Twoje manewry, prowadząc Cię dokładnie tam, gdzie sobie zażyczysz.

Dodatkowo w Aspre zamontowaliśmy napęd Shimano GRX o szerokim zakresie przełożeń. 2 blaty z przodu pozwolą na dobranie kadencji pod każdy rodzaj jazdy: od spokojniejszych przejażdżek, na agresywnej jeździe w terenie kończąc. W każdych warunkach o twoje bezpieczeństwo dbają hydrauliczne hamulce na tarczach. Opony Schwalbe G-One o rozmiarze 38c zapewniają doskonałą przyczepność. Gravele to także bikepacking, a więc w Aspre 2 umieściliśmy liczne montaże na akcesoria, aby zapewnić przestrzeń załadunkową nawet dla najbardziej wymagających bikepacker’ów.

Zanurz się w świat graveli, odkrywaj nowe trasy i docieraj tam, gdzie zawsze chciałeś. Aspre 2 będzie niezastąpionym partnerem podczas każdej wyprawy po szutrze.

MARKA
ROMET
MODEL
ASPRE 2
ROK PRODUKCJI
2024
KOLOR
żółty
KOLOR SZCZEGÓŁOWY
ciemnożółto-czarny
KOŁA, RAMA
700C / alu 6061 X-lite
WIDELEC
Carbon Tapered
PRZERZUTKA PRZÓD
Shimano FD-RX400
PRZERZUTKA TYŁ
Shimano RD-RX400
MANETKI PRZÓD
Dźwignia hamulca Shimano GRX RX400
MANETKI TYŁ
Dźwignia hamulca Shimano GRX RX400
MECHANIZM KORBOWY
Shimano GRX FC-RX600 46/30T 170mm/172,5mm
KASETA/WOLNOBIEG
Shimano HG50********34T 10 biegów
NAPĘD
20 biegów
HAMULEC PRZÓD
Shimano GRX FD-RX400
HAMULEC TYŁ
Shimano GRX FD-RX400
TARCZA HAMULCOWA PRZÓD
Shimano SM-RT10 centerlock 160 mm
TARCZA HAMULCOWA TYŁ
Shimano SM-RT10 centerlock 160 mm
PIASTA PRZÓD
Shimano HB-RS470
PIASTA TYŁ
Shimano FH-RS470
KIEROWNICA
Romet Gravel aluminiowa 420mm
MOSTEK KIEROWNICY
Romet Aluminiowy 70mm/90mm/100mm
SZTYCA
Romet Aluminiowa 27,2mm 350mm
SIODŁO
Fizik Taiga
PEDAŁY
FP-971 aluminiowe
OBRĘCZE
Ryde DP19
OPONY
Schwalbe G-ONE 700x38C
WAGA
11 kg",Nowe,,Zewnętrzna,Tarczowe hydrauliczne,Aluminium,"28""",Firmowe,,,,,,"{'Typ sprzedawcy': 'Firmowe', 'Stan': 'Nowe', 'Rodzaj przerzutki': 'Zewnętrzna', 'Typ hamulca': 'Tarczowe hydrauliczne', 'Materiał ramy': 'Aluminium', 'Rozmiar koła': '28""'}"
Gravel ktm x strada karbon grx rozmiar L Wrzosowa • OLX.pl,6500.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/gravel-ktm-x-strada-karbon-grx-rozmiar-l-CID767-ID158jv3.html,,,,"OpisCześć, sprzedam lub zamienię gravel ktm x strada. Rower kupiony nowy w „Bikemania” Częstochowa użytkowałem 3 sezony mało używany przez pierwsze dwa dopiero ostatni jeździłem więcej i okazuje się być troszkę za duży mimo zmiany mostka. Dlatego rozważę zamianę tylko na mniejszy gravel. Na ostatnim serwisie wymieniona kaseta, łańcuch, łożyska, wkład suportu. Myślę że nowy właściciel ma spokój na dobre kilka tyś. kilometrów
. Całość w serii poza mostkiem oczywiście oryginalny mostek dorzucę. Po pytania pisz lub dzwoń

Specyfikacja techniczna
X-STRADA ELITE
- kategoria roweru: Gravel
- kategoria ASTM: 2
- przerzutki: 2x11 Shimano GRX
-przerzutka tylna: Shimano GRX RX810 shadow+
- przerzutka przednia: Shimano GRX RX810
- manetka: Shimano GRX RX600
- korba: Shimano GRX RX60*********30
- kaseta: Shimano HG700-11 / 11-34
-tarcze hamulcowe (p/t): Shimano RT64 CL 160 / RT64 CL 160
- przednie koło(obręcz): Mavic ALLROAD S DISC CL 100/12TA / 622x22TSS
- tylne koło(obręcz): Mavic ALLROAD S DISC CL 142/12TA / 622x22TSS

oklejony folia, scupacaz owijka, opony gravelowe tufo, 

bidon narzędziowy, koszyki, pompka lezyne, pedaly zostają w rowerze

https://youtu.be/47ifS1H-it0?si=n14RM16AVvAglZ1x",Używane,Czerwony,,,Karbon,"28""",Prywatne,,,,,,"{'Typ sprzedawcy': 'Prywatne', 'Stan': 'Używane', 'Kolor': 'Czerwony', 'Materiał ramy': 'Karbon', 'Rozmiar koła': '28""'}"
Schwalbe pro one tle 700x38c roadplus gravel szosa 38 Miasteczko Śląskie • OLX.pl,298.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/schwalbe-pro-one-tle-700x38c-roadplus-gravel-szosa-38-CID767-ID159srd.html,,,,"OpisDzień dobry, na sprzedaż opony Schwalbe pro one tle  sAddix 700x38c. Przejechały u mnie około 150km.
Żadnych uszkodzeń.
Cena za dwie sztuki",Używane,,,,,,Prywatne,,,,,,"{'Typ sprzedawcy': 'Prywatne', 'Stan': 'Używane'}"
Klasyczny rower MTB retro 26” unikatowy gravel mtb miejski trekkingowy Wrocław Stare Miasto • OLX.pl,999.0,Nieznana,04.04.2025,https://www.olx.pl/oferta/klasyczny-rower-mtb-retro-26-unikatowy-gravel-mtb-miejski-trekkingowy-CID767-ID14E8jB.html,Trek,M,,"OpisSprzedam wyjątkowy klasyczny rower MTB w stylu retro. Solidna stalowa rama i niezawodny osprzęt zapewniają świetne właściwości jezdne zarówno w terenie, jak i w mieście. Idealny dla miłośników rowerów vintage oraz kolekcjonerów.

Koła 26 cali – kultowy rozmiar MTB
Osprzęt Shimano – precyzyjna zmiana biegów
Opony terenowe – świetna przyczepność
Unikatowy design – wyróżnij się na trasie!
Sportowa kierownica dla dynamicznej jazdy

Stan techniczny: bardzo dobry, gotowy do jazdy.

Lokalizacja/ Wrocław okolice Sky Tower 

#mtb #rower #retro #rowerklasyczny #rower26 #vintage #rowerterenowy #bikepacking #staryrower #mtb26 #gravel #adventure #roweryklasyczne #rowerzysci #rowerpasja #rowerfan #bike #rowermtb #endurorower #singletrack #rowerturystyczny #rowerfanatyk #biker #mtblovers #roweremwszędzie #rowertrekkingowy #rowerem #rowersportowy #rowerlovers #roweryretro #starymtb #rowerzabytkowy #rowerowa #rowerpolska #rowerzystka #rowerzysta #bikepackinglife #rowerunikat #rowermiejski #rowergórski #rowershimano #mtbclassic #rowerygórskie #rowerzyska #klasycznymtb #rowerterenowy #sportowyrower #rowerykolekcjonerskie",Używane,Niebieski,,,,"26""",Prywatne,,,,,,"{'Typ sprzedawcy': 'Prywatne', 'Stan': 'Używane', 'Kolor': 'Niebieski', 'Rozmiar koła': '26""'}"
